Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000190330,IN,KAR,BEN,"Office: Administrative/Professional",Platinum,83,66965.41,3515684,2496136,"2025-04-02 00:00:00"
1000190332,IN,CON,CON,CONF,Platinum,86,46604.23,4077870,2895288,"2025-06-05 00:00:00"
1000190334,IN,KAR,BEN,"Office: Administrative/Professional",Platinum,87,23118.63,1213728,861747,"2025-05-06 00:00:00"
1000190336,IN,KAR,BEN,"Office: Administrative/Professional",Platinum,88,51604.36,2709229,1923553,"2025-04-02 00:00:00"
1000190338,IN,KAR,BEN,"Office: Administrative/Professional",Platinum,84,27560.6,1446932,1027321,"2025-04-02 00:00:00"
1000190340,IN,KAR,BEN,"Office: Administrative/Professional",Platinum,88,54400.65,2856034,2027784,"2025-05-06 00:00:00"
1000190355,TR,TOK,TOK,"Industrial Manufacturing",Gold,77,8737,1528975,657459,"2025-07-20 00:00:00"
1000190462,US,MA,BOS,"Office: Mixed-Use",Gold,61,5968.65,223824,98483,"2024-07-11 00:00:00"
1000190474,US,NY,NY,"Office: Administrative/Professional",Gold,73,91411.26,3427922,1508286,"2024-09-17 00:00:00"
1000190586,CN,BEI,BEI,"Office: Other Office",Platinum,80,35428,1859970,1041583,"2024-06-17 00:00:00"
1000190654,US,CON,CON,CONF,Silver,55,23091.04,865914,381002,"2024-09-23 00:00:00"
1000190703,MX,QRO,SJDR,"Lodging: Hotel/Motel/Resort, Full Service",Gold,71,15270,1240688,372206,"2024-08-15 00:00:00"
1000190794,HK,HK,HK,"Office: Mixed-Use",Platinum,85,4017.4,210914,122330,"2024-04-08 00:00:00"
1000190797,HK,HK,HK,"Office: Mixed-Use",Platinum,85,6982.12,366561,212606,"2024-03-26 00:00:00"
1000190804,ES,CON,CON,CONF,Gold,76,5027,314188,72263,"2024-11-13 00:00:00"
1000190858,IN,HAR,FAR,"Office: Mixed-Use",Platinum,91,25246,1325415,941045,"2024-04-18 00:00:00"
1000190863,IN,HAR,GUR,"Office: Mixed-Use",Platinum,91,16075,843938,599196,"2024-06-05 00:00:00"
1000190909,AE,AE,DUB,"Office: Administrative/Professional",Platinum,88,15560.6,816932,326773,"2025-03-18 00:00:00"
1000190921,CN,JIA,SUZ,"Office: Mixed-Use",Gold,64,8503,318862,178563,"2024-06-26 00:00:00"
1000190940,TR,IST,IST,Other,Gold,66,3908,244250,105028,"2024-12-11 00:00:00"
1000190943,US,DC,WAS,"Office: Administrative/Professional",Gold,66,20284.91,760684,334701,"2025-06-19 00:00:00"
1000190998,IN,CON,CON,CONF,Gold,68,6000,375000,266250,"2024-05-04 00:00:00"
1000191200,US,FL,MG,"Public Assembly: Stadium/Arena",Gold,67,121246.68,21218169,9335994,"2024-04-08 00:00:00"
1000191262,AE,AE,AD,"Office: Mixed-Use",Platinum,82,60135,3157088,1262835,"2024-06-18 00:00:00"
1000191264,AE,AE,AD,"Office: Mixed-Use",Platinum,81,74229.6,3897054,1558822,"2024-06-18 00:00:00"
1000191266,AE,AE,AD,"Office: Mixed-Use",Platinum,83,74229.6,3897054,1558822,"2024-07-01 00:00:00"
1000191289,US,NY,NY,"Office: Administrative/Professional",Gold,67,12655.8,474592,208821,"2024-10-30 00:00:00"
1000191297,US,IL,CHI,"Lodging: Hotel/Motel/Resort, Full Service",Gold,66,65217.91,5298955,2331540,"2024-06-13 00:00:00"
1000191310,AE,AE,AD,"Core Learning Space: K-12 Elementary/Middle School",Gold,77,24146.94,1811020,724408,"2024-08-01 00:00:00"
1000191328,IN,MAH,MUM,"Office: Other Office",Platinum,81,62834,3298785,2342137,"2024-11-07 00:00:00"
1000191387,AE,AE,AD,"Core Learning Space: K-12 Elementary/Middle School",Gold,71,5702,427650,171060,"2024-09-09 00:00:00"
1000191389,AE,AE,AD,"Core Learning Space: K-12 Elementary/Middle School",Gold,70,20485.6,1536420,614568,"2024-08-10 00:00:00"
1000191391,AE,AE,AD,"Lodging: Hotel/Motel/Resort, Full Service",Gold,65,68214,5542388,2216955,"2024-12-18 00:00:00"
1000191407,ES,MAD,MAD,"Core Learning Space: College/University",Gold,73,4553,341475,78539,"2024-10-09 00:00:00"
1000191408,ES,MAD,MAD,"Office: Administrative/Professional",Gold,63,4169,156338,35958,"2024-10-09 00:00:00"
1000191409,ES,MAD,MAD,"Office: Administrative/Professional",Gold,66,4155,155812,35837,"2024-10-09 00:00:00"
1000191410,ES,MAD,MAD,"Office: Administrative/Professional",Gold,65,4610,172875,39761,"2024-10-09 00:00:00"
1000191462,AE,AE,AD,"Office: Mixed-Use",Gold,70,61900,2321250,928500,"2024-07-25 00:00:00"
1000191469,CN,GUA,HUI,"Retail: Enclosed Mall",Gold,76,110000,8937500,5005000,"2024-03-12 00:00:00"
1000191770,KR,SOU,SEO,"Office: Mixed-Use",Gold,66,31100,1166250,478162,"2024-08-07 00:00:00"
1000191899,AE,AE,DUB,"Office: Other Office",Gold,66,14312.08,536703,214681,"2024-06-25 00:00:00"
1000191901,AE,AE,DUB,"Office: Other Office",Gold,64,7217.08,270640,108256,"2024-06-25 00:00:00"
1000191906,AE,AE,DUB,"Office: Other Office",Platinum,80,6195.98,325289,130116,"2024-06-25 00:00:00"
1000191908,AE,AE,DUB,"Office: Other Office",Gold,72,23593.37,884751,353901,"2024-07-05 00:00:00"
1000191910,AE,AE,DUB,"Office: Mixed-Use",Gold,77,53589.14,2009593,803837,"2024-06-25 00:00:00"
1000191915,AE,AE,DUB,"Office: Other Office",Gold,78,21349.67,800613,320245,"2024-06-25 00:00:00"
1000191917,AE,AE,DUB,"Office: Other Office",Platinum,80,24258,1273545,509418,"2024-06-25 00:00:00"
1000191983,CN,BEI,BEI,"Retail: Enclosed Mall",Platinum,88,111251,12654801,7086689,"2024-06-11 00:00:00"
1000192034,AE,AE,AD,"Core Learning Space: K-12 Elementary/Middle School",Gold,71,5407,405525,162210,"2024-08-27 00:00:00"
1000192085,AE,AE,AD,"Retail: Enclosed Mall",Gold,64,389916,31680675,12672270,"2024-10-15 00:00:00"
1000192088,AE,AE,AD,"Core Learning Space: K-12 Elementary/Middle School",Gold,66,26808,2010600,804240,"2024-08-07 00:00:00"
1000192170,US,CON,CON,CONF,Silver,58,4641.99,174075,76593,"2025-04-10 00:00:00"
1000192213,AE,AE,AA,"Core Learning Space: K-12 Elementary/Middle School",Gold,70,11053,828975,331590,"2024-11-11 00:00:00"
1000192216,IN,TN,COI,"Office: Administrative/Professional",Platinum,87,115435,6060338,4302840,"2025-01-08 00:00:00"
1000192229,BR,SP,SP,"Office: Administrative/Professional",Gold,68,11645.1,436691,56770,"2025-07-14 00:00:00"
1000192658,HK,NT,HK,"Airport: Distribution Center",Gold,74,138713,24274775,14079369,"2025-03-06 00:00:00"
1000192705,US,NY,NY,"Office: Mixed-Use",Gold,60,67248.21,2521808,1109595,"2024-08-09 00:00:00"
1000193000,CN,GUA,SHE,"Office: Financial",Gold,62,1264822.83,47430856,26561279,"2024-11-18 00:00:00"
1000193057,US,NY,NY,"Office: Mixed-Use",Gold,60,58916.76,2209378,972127,"2024-10-28 00:00:00"
