Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
300,1000126860,LEED v4 BD+C: NC,42,Certified,2024-04-25
301,1000127107,LEED v4 BD+C: NC,61,Gold,2024-03-26
302,1000127189,LEED v4 BD+C: NC,52,Silver,2024-02-23
303,1000127577,LEED v4 BD+C: NC,66,Gold,2024-08-26
304,1000127922,LEED v4 BD+C: NC,50,Silver,2024-08-12
305,1000127979,LEED v4 BD+C: NC,66,Gold,2024-10-21
306,1000128079,LEED v4 BD+C: NC,81,Platinum,2024-10-29
307,1000128200,LEED v4 BD+C: NC,50,Silver,2024-07-11
308,1000128224,LEED v4 BD+C: NC,56,Silver,2024-06-17
309,1000128432,LEED v4 BD+C: NC,67,Gold,2024-08-13
310,1000128498,LEED v4 BD+C: NC,61,Gold,2024-05-15
311,1000128557,LEED v4 BD+C: NC,65,Gold,2024-04-18
312,1000128574,LEED v4 BD+C: NC,56,Silver,2024-02-16
313,1000128661,LEED v4 BD+C: NC,85,Platinum,2024-01-05
314,1000128796,LEED v4 BD+C: NC,60,Gold,2024-04-09
315,1000128902,LEED v4 BD+C: NC,62,Gold,2024-10-23
316,1000128927,LEED v4 BD+C: NC,55,Silver,2024-06-04
317,1000128928,LEED v4 BD+C: NC,56,Silver,2024-06-04
318,1000128976,LEED v4 BD+C: NC,62,Gold,2024-09-16
319,1000129049,LEED v4 BD+C: NC,50,Silver,2024-01-03
320,1000129511,LEED v4.1 O+M: EB,81,Platinum,2025-07-12
321,1000129542,LEED v4 BD+C: NC,64,Gold,2024-06-05
322,1000129660,LEED v4 BD+C: NC,68,Gold,2024-08-21
323,1000129674,LEED v4 O+M: EB,54,Silver,2024-04-04
324,1000129706,LEED v4 BD+C: NC,60,Gold,2024-05-29
325,1000129771,LEED v4 BD+C: NC,43,Certified,2024-09-16
326,1000129774,LEED v4 BD+C: NC,61,Gold,2024-03-28
327,1000129804,LEED v4 BD+C: NC,53,Silver,2024-12-09
328,1000129809,LEED v4 BD+C: NC,51,Silver,2024-04-01
329,1000130077,LEED v4 BD+C: NC,50,Silver,2024-01-17
330,1000130115,LEED v4 BD+C: NC,60,Gold,2024-08-01
331,1000130117,LEED v4 BD+C: NC,40,Certified,2024-03-28
332,1000130144,LEED v4 BD+C: NC,52,Silver,2024-01-22
333,1000130152,LEED v4.1 BD+C: NC,65,Gold,2024-04-18
334,1000130386,LEED v4 BD+C: NC,60,Gold,2024-05-02
335,1000130394,LEED v4 BD+C: NC,55,Silver,2024-02-29
336,1000130428,LEED v4 BD+C: NC,61,Gold,2024-06-10
337,1000130454,LEED v4 BD+C: NC,71,Gold,2024-02-27
338,1000130598,LEED v4 BD+C: NC,58,Silver,2024-11-13
339,1000130960,LEED v4 BD+C: NC,62,Gold,2024-02-29
340,1000130961,LEED v4 BD+C: NC,51,Silver,2024-09-03
341,1000130965,LEED v4 BD+C: NC,45,Certified,2024-11-13
342,1000130970,LEED v4 BD+C: NC,56,Silver,2024-06-12
343,1000130974,LEED v4 BD+C: NC,53,Silver,2024-11-13
344,1000131005,LEED v4 BD+C: NC,65,Gold,2024-09-16
345,1000131151,LEED v4 BD+C: NC,67,Gold,2024-01-10
346,1000131185,LEED v4 BD+C: NC,72,Gold,2024-09-12
347,1000131219,LEED v4 BD+C: NC,46,Certified,2024-04-08
348,1000131228,LEED v4 BD+C: NC,56,Silver,2024-01-31
349,1000131280,LEED v4 BD+C: NC,53,Silver,2024-02-27
350,1000131522,LEED v4 BD+C: NC,60,Gold,2024-07-02
351,1000131533,LEED v4 BD+C: NC,57,Silver,2024-01-15
352,1000131547,LEED v4.1 O+M: EB,67,Gold,2024-12-13
353,1000131604,LEED v4 BD+C: NC,64,Gold,2024-11-22
354,1000131629,LEED v4 BD+C: NC,50,Silver,2024-07-17
355,1000131657,LEED v4 BD+C: NC,60,Gold,2024-08-16
356,1000131679,LEED v4 BD+C: NC,42,Certified,2024-09-05
357,1000131721,LEED v4 BD+C: NC,62,Gold,2024-04-04
358,1000131722,LEED v4 BD+C: NC,53,Silver,2024-04-22
359,1000131801,LEED v4 BD+C: NC,69,Gold,2024-12-06
360,1000131832,LEED v4 BD+C: NC,54,Silver,2024-10-02
361,1000132019,LEED v4 BD+C: NC,53,Silver,2024-07-03
362,1000132038,LEED v4.1 O+M: EB,56,Silver,2024-10-15
363,1000132061,LEED v4 BD+C: NC,65,Gold,2024-01-10
364,1000132062,LEED v4 BD+C: NC,62,Gold,2024-01-10
365,1000132181,LEED v4 BD+C: NC,52,Silver,2024-02-19
366,1000132329,LEED v4 BD+C: NC,51,Silver,2024-03-20
367,1000132337,LEED v4 BD+C: NC,60,Gold,2024-05-17
368,1000132401,LEED v4 BD+C: NC,88,Platinum,2024-05-06
369,1000132402,LEED v4 BD+C: NC,84,Platinum,2024-05-06
370,1000132485,LEED v4 BD+C: NC,42,Certified,2024-07-25
371,1000132496,LEED v4 BD+C: NC,48,Certified,2024-12-03
372,1000132576,LEED v4 BD+C: NC,51,Silver,2024-06-05
373,1000132769,LEED v4 BD+C: NC,51,Silver,2024-02-12
374,1000132770,LEED v4 BD+C: NC,50,Silver,2024-12-12
375,1000132841,LEED v4 BD+C: NC,52,Silver,2024-07-25
376,1000132908,LEED v4 BD+C: NC,86,Platinum,2025-03-21
377,1000132952,LEED v4 BD+C: NC,95,Platinum,2024-07-21
378,1000133076,LEED v4.1 BD+C: NC,84,Platinum,2024-07-17
379,1000133126,LEED v4 BD+C: NC,61,Gold,2024-05-01
380,1000133206,LEED-NC v2009,66,Gold,2024-04-10
381,1000133308,LEED v4 BD+C: NC,52,Silver,2024-04-03
382,1000133391,LEED v4 BD+C: NC,40,Certified,2024-08-16
383,1000133434,LEED v4 BD+C: NC,64,Gold,2024-02-07
384,1000133531,LEED v4 BD+C: NC,65,Gold,2024-01-22
385,1000133540,LEED v4 BD+C: NC,47,Certified,2024-05-17
386,1000133544,LEED v4 BD+C: NC,64,Gold,2024-04-11
387,1000133563,LEED v4 BD+C: NC,62,Gold,2024-11-12
388,1000133578,LEED v4 BD+C: NC,43,Certified,2024-08-19
389,1000133724,LEED v4 BD+C: NC,61,Gold,2024-08-22
390,1000133757,LEED v4 BD+C: NC,60,Gold,2024-12-17
391,1000133767,LEED v4 BD+C: NC,63,Gold,2024-12-09
392,1000133807,LEED v4 BD+C: NC,56,Silver,2024-01-24
393,1000133851,LEED v4 BD+C: NC,50,Silver,2024-07-10
394,1000133893,LEED v4 BD+C: NC,60,Gold,2024-09-05
395,1000134053,LEED v4 BD+C: NC,61,Gold,2024-07-31
396,1000134167,LEED v4 BD+C: NC,64,Gold,2024-03-20
397,1000134194,LEED v4 BD+C: NC,65,Gold,2024-12-11
398,1000134207,LEED v4 BD+C: NC,55,Silver,2024-05-10
399,1000134217,LEED v4 BD+C: NC,61,Gold,2024-09-09
400,1000134223,LEED v4.1 BD+C: NC,50,Silver,2024-04-30
401,1000134257,LEED v4 BD+C: NC,42,Certified,2024-11-18
402,1000134580,LEED v4.1 O+M: EB,66,Gold,2024-07-31
403,1000135296,LEED v4 BD+C: NC,50,Silver,2024-12-10
404,1000135406,LEED v4 BD+C: NC,64,Gold,2024-05-07
405,1000135819,LEED v4 BD+C: NC,51,Silver,2024-03-08
406,1000135850,LEED v4 BD+C: NC,40,Certified,2024-08-06
407,1000136120,LEED v4 BD+C: NC,53,Silver,2024-01-25
408,1000136570,LEED v4 BD+C: NC,50,Silver,2024-01-17
409,1000136602,LEED v4 BD+C: NC,51,Silver,2024-01-03
410,1000136633,LEED v4 BD+C: NC,61,Gold,2024-07-26
411,1000136717,LEED v4 BD+C: NC,52,Silver,2024-08-16
412,1000136737,LEED v4 BD+C: NC,54,Silver,2024-02-21
413,1000136780,LEED v4 BD+C: NC,48,Certified,2024-02-27
